income,loan_amount,monthly_units,vehicle_type,eco_score,loan_status,job_type,loan_history,fuel_type,credit_score
55000.0,3600.0,533,1,2,1,Self,Paid,Electric,750
65000.0,24700.0,540,1,1,1,Govt,Paid,Petrol,705
63000.0,20000.0,416,0,1,1,Govt,Ongoing,Petrol,652
110000.0,35000.0,237,0,2,0,MNC,No History,Electric,724
104433.0,10400.0,220,0,2,1,MNC,No History,Petrol,687
34000.0,11950.0,182,0,2,1,Govt,Paid,Diesel,778
180000.0,20000.0,464,0,0,1,Govt,Ongoing,Diesel,678
85000.0,20000.0,389,0,2,1,Govt,Ongoing,Petrol,655
85000.0,10000.0,147,1,2,1,Govt,No History,Diesel,671
42000.0,8000.0,197,0,2,1,MNC,Paid,Electric,711
95000.0,22400.0,385,0,1,0,Govt,Ongoing,Diesel,627
70000.0,16000.0,377,1,2,0,Self,Ongoing,Petrol,615
64000.0,1400.0,392,0,1,1,Govt,No History,Diesel,673
150000.0,18000.0,322,0,2,0,Govt,No History,Petrol,729
92000.0,28000.0,162,1,2,1,Govt,No History,Electric,680
60000.0,9600.0,228,1,1,1,Self,Paid,Diesel,712
109000.0,25000.0,245,1,1,1,MNC,No History,Diesel,702
112000.0,18000.0,449,1,1,1,MNC,Ongoing,Petrol,685
64000.0,23000.0,525,1,1,0,MNC,No History,Petrol,668
55000.0,8650.0,251,0,1,1,Self,Paid,Diesel,774
65000.0,29900.0,464,1,2,1,Self,No History,Electric,673
48000.0,16000.0,587,0,2,1,MNC,Paid,Electric,771
125000.0,28000.0,192,0,2,1,MNC,Ongoing,Electric,676
79000.0,5000.0,440,0,0,1,Self,Paid,Diesel,704
100000.0,6000.0,567,0,0,1,Self,Ongoing,Diesel,645
35000.0,4225.0,528,1,1,0,Govt,Ongoing,Petrol,659
65000.0,20000.0,280,1,2,1,Self,No History,Electric,689
109000.0,16000.0,130,1,2,1,Govt,Paid,Diesel,784
88000.0,17600.0,551,1,0,1,Govt,No History,Diesel,696
