income,loan_amount,monthly_units,vehicle_type,eco_score,loan_status
55000.0,3600.0,533,1,0,1
65000.0,24700.0,540,1,0,1
63000.0,20000.0,416,0,1,1
110000.0,35000.0,237,0,2,0
104433.0,10400.0,220,0,2,1
34000.0,11950.0,182,0,2,1
180000.0,20000.0,464,0,1,1
85000.0,20000.0,389,0,1,1
85000.0,10000.0,147,1,1,1
42000.0,8000.0,197,0,2,1
95000.0,22400.0,385,0,1,0
70000.0,16000.0,377,1,0,0
64000.0,1400.0,392,0,1,1
150000.0,18000.0,322,0,1,0
92000.0,28000.0,162,1,1,1
60000.0,9600.0,228,1,1,1
109000.0,25000.0,245,1,1,1
112000.0,18000.0,449,1,0,1
64000.0,23000.0,525,1,0,0
55000.0,8650.0,251,0,2,1
65000.0,29900.0,464,1,0,1
48000.0,16000.0,587,0,1,1
125000.0,28000.0,192,0,2,1
79000.0,5000.0,440,0,1,1
100000.0,6000.0,567,0,1,1
35000.0,4225.0,528,1,0,0
65000.0,20000.0,280,1,1,1
109000.0,16000.0,130,1,1,1
88000.0,17600.0,551,1,0,1
44000.0,15000.0,376,1,0,1
65000.0,16000.0,422,1,0,0
75000.0,24250.0,296,1,1,0
98000.0,12000.0,558,0,1,1
79000.0,25000.0,486,0,1,0
118000.0,16800.0,531,0,1,0
59000.0,7000.0,120,1,1,1
52000.0,21000.0,235,0,2,1
195000.0,27500.0,286,0,2,1
72500.0,7200.0,188,0,2,1
110000.0,20000.0,389,0,1,1
70000.0,20000.0,457,0,1,1
55000.0,10000.0,230,1,1,0
142000.0,16000.0,100,0,2,0
75000.0,20000.0,339,1,0,1
100000.0,8650.0,339,1,0,1
54649.0,21000.0,111,1,1,1
55000.0,7200.0,540,0,1,1
92000.0,8800.0,143,0,2,1
43160.0,14650.0,138,0,2,0
50000.0,2500.0,199,1,1,1
69000.0,11000.0,333,0,1,1
68046.0,23850.0,467,1,0,0
48000.0,15700.0,472,1,0,0
60000.0,28800.0,292,0,2,0
91392.0,10000.0,503,1,0,1
77900.0,24000.0,184,0,2,0
75000.0,28000.0,139,0,2,1
128000.0,35000.0,316,1,0,1
50000.0,7200.0,128,0,2,1
40100.0,10000.0,527,0,1,1
42000.0,16000.0,211,0,2,0
47590.0,21875.0,313,0,1,1
39000.0,14025.0,430,0,1,1
106000.0,35000.0,452,0,1,0
145000.0,20000.0,483,0,1,1
60000.0,14000.0,438,1,0,0
62000.0,16000.0,564,0,1,0
85000.0,28000.0,486,0,1,0
70000.0,20000.0,293,0,2,0
44000.0,17600.0,535,1,0,0
102500.0,4200.0,315,0,1,1
75000.0,19000.0,188,1,1,1
45000.0,15850.0,162,0,2,1
42500.0,10000.0,278,0,2,0
175000.0,30000.0,201,0,2,1
45000.0,1500.0,568,1,0,1
150000.0,25000.0,510,1,0,1
50000.0,16250.0,523,1,0,0
60000.0,20200.0,482,1,0,0
70000.0,23975.0,161,0,2,0
65000.0,15000.0,223,1,1,1
41600.0,10000.0,211,1,1,1
110000.0,15000.0,413,0,1,1
110000.0,23100.0,560,0,1,0
65000.0,27300.0,344,0,1,0
135000.0,25000.0,332,1,0,1
40000.0,15000.0,179,1,1,1
30000.0,10000.0,334,1,0,1
70000.0,18500.0,125,0,2,1
32000.0,5000.0,595,0,1,1
50000.0,9000.0,377,0,1,1
85000.0,11000.0,285,0,2,1
55000.0,20000.0,134,0,2,1
80000.0,15000.0,433,0,1,1
53750.0,12000.0,166,1,1,1
45000.0,8000.0,519,1,0,1
40000.0,12000.0,427,1,0,1
75000.0,18000.0,219,0,2,1
85000.0,3600.0,217,1,1,1
20000.0,7200.0,425,1,0,0
77213.0,15000.0,382,1,0,1
72000.0,5000.0,203,1,1,1
38000.0,11550.0,585,0,1,0
104000.0,33600.0,238,1,1,1
39000.0,17925.0,536,0,1,0
39750.0,17475.0,513,1,0,0
47000.0,9000.0,569,0,1,1
65000.0,12000.0,252,0,2,1
44500.0,4000.0,422,1,0,1
70100.0,10500.0,307,0,1,1
100000.0,14000.0,128,1,1,1
105000.0,6000.0,302,1,0,1
90000.0,16000.0,195,0,2,0
92000.0,15000.0,323,1,0,1
39400.0,12000.0,558,1,0,1
33000.0,10000.0,389,1,0,1
32000.0,4200.0,457,0,1,1
120000.0,35000.0,444,0,1,1
108000.0,5475.0,591,1,0,0
60000.0,16000.0,222,0,2,0
38700.0,6000.0,394,1,0,1
75000.0,24000.0,496,0,1,1
60000.0,10000.0,342,1,0,1
80000.0,6900.0,397,1,0,1
48000.0,22400.0,109,1,1,0
58800.0,15975.0,108,1,1,1
54000.0,21600.0,389,0,1,1
82193.0,24000.0,376,1,0,0
73320.0,14400.0,231,1,1,0
42000.0,8000.0,596,0,1,1
83000.0,7000.0,101,1,1,1
55000.0,20000.0,228,0,2,1
68000.0,25825.0,163,0,2,0
92000.0,24575.0,271,0,2,1
30407.0,3200.0,102,1,1,1
137000.0,22875.0,133,1,1,1
80000.0,16000.0,118,0,2,0
125000.0,35000.0,563,1,0,1
52000.0,2400.0,527,0,1,1
132000.0,25000.0,405,1,0,1
55000.0,8800.0,373,1,0,1
16488.0,2500.0,122,0,2,1
50000.0,8000.0,386,0,1,1
78000.0,20000.0,112,0,2,0
110000.0,35000.0,433,1,0,0
45000.0,15000.0,248,0,2,1
70000.0,16000.0,399,0,1,0
40000.0,10800.0,124,0,2,1
15000.0,7500.0,511,0,1,1
63000.0,16000.0,433,1,0,0
49000.0,9000.0,533,0,1,1
28000.0,9500.0,416,1,0,1
25000.0,10000.0,159,1,1,0
49000.0,6000.0,558,0,1,1
52000.0,15600.0,292,1,1,1
90000.0,35000.0,426,0,1,1
78000.0,5000.0,421,0,1,1
75000.0,20400.0,253,0,2,1
33130.0,8000.0,532,0,1,0
87500.0,16000.0,585,0,1,1
80000.0,18000.0,376,0,1,0
105000.0,35000.0,550,0,1,1
40000.0,13150.0,232,1,1,1
48000.0,5600.0,529,0,1,1
90247.0,23000.0,202,1,1,1
175000.0,12600.0,134,1,1,1
55000.0,11000.0,450,1,0,1
41501.0,4000.0,441,0,1,1
75000.0,20000.0,121,1,1,0
60000.0,20000.0,537,0,1,1
59307.0,10000.0,573,0,1,1
55000.0,18850.0,429,1,0,0
82000.0,21000.0,256,0,2,1
60000.0,10500.0,232,0,2,1
56000.0,4575.0,485,0,1,0
17000.0,5000.0,393,1,0,1
45000.0,8000.0,108,1,1,1
30000.0,5000.0,543,0,1,0
40000.0,9075.0,335,1,0,1
75181.21,24000.0,527,1,0,0
52000.0,12500.0,478,0,1,1
80000.0,19600.0,288,0,2,0
90000.0,35000.0,511,0,1,1
75000.0,28000.0,505,0,1,1
45500.0,14000.0,213,0,2,0
99906.0,16000.0,418,0,1,1
120000.0,14000.0,461,1,0,1
72000.0,24000.0,548,0,1,1
75000.0,35000.0,414,1,0,1
70000.0,14550.0,373,1,0,0
21610.0,8000.0,577,1,0,1
106284.0,32400.0,131,0,2,0
25000.0,3600.0,448,0,1,1
110000.0,10500.0,598,0,1,1
105000.0,3000.0,492,1,0,1
43000.0,16000.0,106,1,1,1
57000.0,8000.0,156,1,1,1
85000.0,19500.0,183,1,1,1
140000.0,2000.0,389,0,1,1
96000.0,16000.0,569,1,0,1
122400.0,3500.0,401,1,0,1
94000.0,14000.0,555,0,1,0
95000.0,24000.0,221,0,2,1
120000.0,6000.0,266,1,1,1
100000.0,24000.0,398,0,1,1
37231.0,14875.0,574,0,1,0
45000.0,10000.0,330,1,0,1
93000.0,15000.0,167,0,2,1
68000.0,10000.0,269,1,1,1
97000.0,18000.0,505,1,0,0
97000.0,24000.0,299,1,1,1
70000.0,23525.0,197,0,2,1
68000.0,12000.0,393,0,1,0
297000.0,11000.0,111,0,2,1
210000.0,24000.0,502,1,0,1
42900.0,15000.0,595,1,0,0
140000.0,16000.0,184,1,1,1
90000.0,15000.0,256,1,1,0
60000.0,5000.0,553,1,0,0
115000.0,19100.0,222,0,2,0
85000.0,15000.0,259,0,2,1
85000.0,30000.0,440,1,0,0
60000.0,15000.0,329,1,0,1
105000.0,3500.0,219,1,1,1
130000.0,20000.0,308,1,0,1
30160.0,10000.0,195,0,2,0
132500.0,35000.0,493,1,0,1
90000.0,16000.0,135,1,1,0
180000.0,2000.0,261,0,2,1
39500.0,12000.0,381,0,1,1
80000.0,8000.0,545,0,1,1
92000.0,10000.0,504,0,1,0
76500.0,25000.0,488,0,1,0
100000.0,35000.0,539,0,1,1
150000.0,25600.0,463,0,1,1
90000.0,4325.0,215,1,1,1
48000.0,6000.0,388,1,0,1
65000.0,18200.0,427,0,1,0
54000.0,10000.0,368,1,0,1
81000.0,30000.0,273,0,2,1
150000.0,13200.0,104,0,2,1
220000.0,10000.0,562,0,1,1
75000.0,3000.0,558,0,1,1
96000.0,20000.0,232,0,2,1
32500.0,13875.0,519,0,1,1
76000.0,18000.0,251,0,2,1
40000.0,15225.0,510,0,1,0
65000.0,16000.0,177,0,2,0
125000.0,21000.0,167,1,1,0
40000.0,13000.0,575,0,1,0
120000.0,20000.0,367,1,0,1
