income,loan_amount,monthly_units,vehicle_type,eco_score,loan_status
55000.0,5000.0,288,0,2,0
12000.0,1000.0,525,0,1,1
90000.0,6000.0,336,1,0,1
147500.0,25000.0,297,0,2,0
89000.0,35000.0,213,0,2,1
46800.0,19500.0,196,1,1,1
220000.0,35000.0,286,1,1,0
140000.0,35000.0,567,1,0,0
75000.0,18400.0,482,1,0,1
22000.0,11000.0,141,0,2,0
110400.0,28000.0,351,1,0,1
70000.0,30000.0,370,1,0,1
72000.0,29325.0,464,1,0,0
95000.0,12000.0,551,0,1,0
50000.0,15000.0,252,1,1,0
65440.0,23450.0,407,0,1,1
146000.0,28000.0,181,1,1,0
105000.0,35000.0,580,0,1,0
76500.0,1600.0,109,0,2,1
55000.0,6000.0,580,1,0,0
70000.0,8000.0,307,1,0,0
50000.0,9500.0,405,1,0,1
62000.0,20000.0,119,1,1,1
105000.0,12000.0,404,1,0,0
70000.0,12000.0,372,0,1,1
67000.0,30000.0,286,0,2,0
80000.0,20000.0,406,1,0,1
165000.0,24000.0,309,0,1,1
72000.0,7200.0,428,1,0,1
70000.0,20000.0,438,0,1,0
76000.0,26575.0,304,0,1,1
374000.0,20000.0,190,0,2,1
40000.0,13150.0,232,1,1,1
79000.0,19200.0,350,1,0,1
88000.0,33000.0,322,1,0,0
119000.0,18000.0,177,0,2,0
96000.0,20000.0,367,0,1,0
100000.0,35000.0,515,1,0,0
60000.0,16000.0,547,0,1,0
60000.0,20000.0,283,1,1,0
750000.0,15000.0,515,1,0,1
80900.0,26575.0,282,0,2,0
40000.0,5000.0,532,1,0,1
32000.0,8375.0,201,1,1,0
250000.0,20000.0,284,0,2,1
84800.0,35000.0,395,1,0,1
52000.0,1400.0,520,0,1,0
32000.0,5000.0,517,1,0,0
120000.0,24000.0,499,1,0,0
90000.0,30000.0,576,1,0,1
66461.0,13100.0,394,0,1,1
55000.0,16800.0,342,1,0,1
150000.0,16000.0,226,1,1,0
79000.0,21000.0,222,0,2,0
100000.0,35000.0,105,0,2,0
145000.0,35000.0,475,0,1,1
28000.0,7200.0,457,1,0,0
140000.0,21000.0,555,1,0,0
38000.0,12900.0,219,0,2,0
62000.0,20000.0,231,1,1,0
100000.0,23000.0,546,0,1,0
175000.0,12000.0,353,0,1,1
155000.0,35000.0,317,0,1,1
102500.0,25000.0,338,1,0,1
103500.0,35000.0,437,1,0,0
55000.0,18850.0,429,1,0,0
144000.0,13650.0,298,1,1,0
52000.0,14000.0,131,0,2,0
85000.0,6000.0,113,1,1,1
100000.0,24650.0,194,0,2,1
28000.0,10500.0,548,0,1,0
61000.0,23175.0,335,1,0,1
22000.0,6500.0,239,1,1,1
54000.0,3000.0,300,1,0,0
60000.0,15000.0,334,1,0,0
75000.0,33000.0,431,0,1,0
75000.0,33600.0,507,1,0,0
117000.0,35000.0,496,1,0,0
27000.0,6350.0,258,1,1,0
72000.0,15000.0,227,1,1,0
44000.0,13000.0,469,1,0,0
120000.0,10000.0,580,1,0,1
35000.0,8150.0,361,0,1,1
115000.0,19100.0,222,0,2,0
60000.0,15000.0,347,0,1,0
80000.0,8000.0,113,0,2,0
52000.0,10400.0,494,0,1,0
80000.0,30000.0,464,1,0,1
98000.0,35000.0,500,0,1,0
85000.0,14400.0,417,0,1,0
65000.0,5000.0,330,0,1,1
47630.0,6000.0,400,1,0,1
107000.0,10000.0,576,0,1,1
41027.0,4000.0,162,0,2,0
58000.0,31850.0,570,1,0,0
52000.0,6000.0,538,1,0,1
70000.0,15000.0,578,0,1,0
130000.0,18000.0,446,0,1,1
62800.0,15000.0,106,1,1,1
34882.0,13250.0,497,1,0,0
105000.0,16000.0,397,1,0,1
81185.0,28000.0,312,1,0,0
47000.0,2000.0,350,1,0,1
160000.0,18000.0,186,0,2,1
50000.0,3000.0,441,0,1,1
49000.0,6000.0,558,0,1,1
40000.0,16000.0,122,0,2,0
76000.0,2000.0,489,1,0,1
72000.0,6000.0,340,0,1,1
106000.0,12225.0,199,1,1,0
150000.0,35000.0,336,0,1,1
48000.0,15000.0,272,1,1,0
56000.0,5000.0,456,1,0,1
40000.0,12600.0,129,0,2,0
135000.0,19000.0,274,1,1,1
25200.0,10000.0,318,0,1,0
150000.0,35000.0,504,1,0,1
38536.0,9375.0,388,1,0,1
34400.0,15125.0,111,1,1,0
102000.0,28000.0,534,0,1,1
65000.0,5000.0,182,0,2,0
62275.0,4500.0,296,0,2,1
68000.0,14225.0,304,0,1,1
48000.0,9000.0,323,1,0,0
50000.0,18225.0,490,0,1,0
64000.0,10000.0,249,0,2,1
53000.0,24000.0,392,1,0,1
42000.0,6225.0,228,0,2,0
48500.0,8000.0,540,0,1,1
47000.0,21150.0,573,0,1,0
30000.0,10800.0,497,1,0,0
94000.0,30000.0,553,1,0,1
101000.0,35000.0,309,1,0,1
60000.0,16000.0,444,1,0,1
40000.0,3000.0,482,1,0,1
51376.0,9100.0,150,0,2,1
95000.0,29000.0,567,1,0,0
50000.0,20000.0,404,1,0,0
40000.0,10800.0,124,0,2,1
55500.0,9650.0,571,1,0,1
65000.0,15000.0,109,0,2,0
52200.0,12000.0,278,0,2,1
81000.0,16000.0,554,1,0,1
36800.0,16175.0,116,1,1,0
43000.0,3800.0,546,1,0,0
150000.0,29475.0,178,1,1,0
150000.0,3600.0,320,0,1,1
58000.0,7000.0,518,0,1,1
50000.0,15000.0,361,0,1,1
70000.0,24000.0,454,0,1,0
17000.0,3500.0,104,1,1,1
95000.0,35000.0,127,0,2,0
95000.0,20000.0,467,1,0,1
45000.0,14700.0,276,1,1,0
225000.0,35000.0,439,0,1,1
68000.0,20000.0,370,1,0,0
50000.0,23000.0,511,0,1,0
35000.0,12000.0,424,1,0,1
95000.0,6000.0,166,1,1,1
77045.0,30000.0,284,0,2,0
64000.0,11200.0,341,0,1,0
42000.0,6000.0,116,0,2,1
70000.0,24000.0,164,0,2,0
168000.0,24000.0,496,0,1,0
65500.0,22950.0,513,1,0,1
60000.0,10000.0,419,1,0,0
60000.0,8000.0,191,1,1,1
71000.0,14000.0,476,0,1,0
76000.0,5600.0,481,0,1,1
80000.0,6000.0,368,0,1,0
80000.0,24000.0,576,0,1,0
90000.0,10000.0,408,1,0,1
97750.0,12000.0,522,1,0,1
250000.0,6000.0,354,0,1,1
48000.0,8000.0,452,1,0,1
52000.0,16500.0,168,1,1,0
65000.0,18200.0,427,0,1,0
52000.0,14000.0,547,1,0,0
110000.0,9000.0,203,1,1,1
110000.0,20000.0,301,1,0,1
45000.0,5000.0,486,0,1,0
50000.0,20000.0,302,1,0,1
99000.0,15600.0,246,1,1,1
73000.0,14400.0,507,1,0,1
49000.0,16325.0,277,0,2,0
53000.0,3500.0,110,1,1,1
85000.0,12000.0,507,0,1,1
55600.0,25525.0,531,1,0,0
41000.0,5600.0,570,1,0,0
45000.0,15000.0,441,0,1,0
160000.0,22725.0,195,0,2,0
71000.0,31225.0,525,0,1,1
40000.0,10725.0,537,0,1,0
60000.0,7000.0,442,0,1,1
74000.0,6400.0,460,1,0,1
135000.0,28000.0,112,1,1,0
50000.0,20000.0,345,0,1,1
58000.0,12000.0,256,0,2,0
102000.0,25000.0,360,1,0,1
120000.0,10000.0,291,0,2,0
59000.0,16800.0,358,1,0,0
75000.0,13000.0,289,0,2,0
68900.0,25000.0,188,0,2,0
13230.0,6600.0,189,1,1,1
36000.0,8000.0,303,1,0,0
3964280.0,1225.0,506,1,0,1
69000.0,5000.0,551,0,1,1
94500.0,15400.0,358,1,0,1
116000.0,35000.0,416,1,0,1
130000.0,21000.0,574,1,0,1
91000.0,19000.0,313,1,0,1
50000.0,13000.0,437,0,1,1
120000.0,2400.0,201,0,2,0
93851.0,16800.0,293,0,2,1
40000.0,6000.0,340,0,1,1
57400.0,14000.0,345,1,0,1
61000.0,3000.0,522,1,0,1
77000.0,16000.0,209,0,2,1
84840.0,15925.0,493,0,1,0
60000.0,10000.0,360,1,0,0
84000.0,28000.0,132,1,1,0
90000.0,10000.0,211,1,1,1
45000.0,4200.0,403,1,0,1
95000.0,30000.0,109,0,2,1
52000.0,16000.0,415,1,0,0
45000.0,3175.0,367,1,0,1
50000.0,15000.0,275,0,2,1
255000.0,35000.0,196,0,2,1
60000.0,15000.0,224,1,1,1
75000.0,12000.0,588,0,1,1
55000.0,7000.0,145,1,1,1
120000.0,21000.0,118,0,2,1
58000.0,18550.0,579,1,0,0
94900.0,5000.0,269,1,1,0
38500.0,12000.0,237,0,2,0
110000.0,20000.0,580,0,1,1
62000.0,14500.0,250,0,2,1
130000.0,25000.0,225,1,1,1
100000.0,22400.0,478,0,1,0
33000.0,10000.0,348,0,1,1
56640.0,10900.0,302,0,1,1
85000.0,16000.0,467,0,1,1
76000.0,30000.0,401,1,0,1
85000.0,20000.0,135,1,1,0
73000.0,8500.0,571,1,0,1
85000.0,10000.0,271,0,2,0
53000.0,23850.0,422,0,1,0
39000.0,9000.0,339,0,1,1
62000.0,25000.0,451,0,1,0
66000.0,15000.0,393,0,1,1
78000.0,18000.0,364,0,1,1
165000.0,20000.0,545,0,1,0
47840.0,5000.0,145,1,1,1
71400.0,12000.0,456,1,0,1
56000.0,20000.0,488,1,0,0
37000.0,15000.0,454,1,0,0
36000.0,15000.0,492,0,1,0
41000.0,3600.0,505,1,0,1
60000.0,8800.0,207,1,1,0
115000.0,16000.0,590,1,0,1
32000.0,10000.0,319,0,1,1
20100.0,4000.0,235,1,1,1
120000.0,28000.0,410,1,0,1
25000.0,3000.0,152,0,2,1
40000.0,16000.0,505,0,1,1
112000.0,24000.0,181,0,2,1
50000.0,1000.0,478,1,0,1
95000.0,30000.0,465,1,0,0
110000.0,24000.0,475,0,1,0
58000.0,23200.0,304,0,1,0
45000.0,5000.0,382,1,0,1
95000.0,7000.0,395,1,0,1
43000.0,3200.0,269,0,2,1
205200.0,28000.0,110,0,2,1
43500.0,15000.0,507,1,0,1
70000.0,32975.0,502,0,1,1
48000.0,14400.0,496,0,1,1
53000.0,8000.0,525,0,1,1
73000.0,20000.0,558,0,1,1
85000.0,7000.0,238,0,2,1
95000.0,15000.0,500,1,0,0
95500.0,30000.0,353,1,0,1
34000.0,3425.0,245,0,2,1
173500.0,35000.0,194,1,1,0
57500.0,4800.0,323,1,0,1
62500.0,24000.0,187,0,2,0
100000.0,35000.0,109,1,1,0
40000.0,8000.0,289,0,2,1
48500.0,19400.0,274,0,2,0
50000.0,7000.0,355,0,1,1
48000.0,15700.0,472,1,0,0
60000.0,24000.0,183,1,1,0
97666.07,28000.0,533,1,0,0
24000.0,4800.0,529,1,0,1
137000.0,28000.0,443,1,0,1
150000.0,10400.0,288,1,1,0
109000.0,25000.0,245,1,1,1
57000.0,6000.0,404,1,0,1
55000.0,9000.0,315,1,0,1
37000.0,15000.0,342,0,1,0
34000.0,10000.0,581,0,1,1
85000.0,24000.0,425,1,0,0
52000.0,7000.0,264,0,2,0
115000.0,30000.0,270,1,1,0
32736.0,13000.0,139,1,1,0
42000.0,15000.0,574,0,1,1
57200.0,11000.0,258,1,1,1
125000.0,14400.0,304,0,1,0
79500.0,19625.0,217,1,1,1
64000.0,23350.0,144,1,1,0
65000.0,12000.0,271,1,1,0
22000.0,6000.0,533,0,1,1
58000.0,18000.0,594,0,1,0
52000.0,12000.0,456,0,1,0
130000.0,15000.0,325,1,0,1
39000.0,10000.0,586,0,1,1
86000.0,8300.0,533,0,1,1
95000.0,24000.0,141,1,1,0
37000.0,7200.0,292,0,2,1
150000.0,5000.0,166,1,1,1
43000.0,19775.0,409,0,1,0
65000.0,13000.0,377,0,1,1
24000.0,2400.0,115,0,2,0
68000.0,12000.0,498,0,1,1
40000.0,10800.0,287,1,1,0
114000.0,14000.0,505,0,1,0
85000.0,26000.0,328,1,0,0
91000.0,13000.0,234,1,1,0
50000.0,16000.0,318,0,1,0
76524.0,33600.0,148,0,2,0
130000.0,20000.0,585,1,0,1
78000.0,19500.0,154,1,1,0
70000.0,32200.0,597,0,1,0
150000.0,35000.0,575,1,0,1
65000.0,7000.0,520,0,1,1
160000.0,35000.0,296,0,2,0
75000.0,16000.0,197,1,1,1
150000.0,28000.0,558,1,0,1
108000.0,23000.0,232,0,2,0
55000.0,11075.0,300,0,1,0
63000.0,1500.0,316,0,1,1
120000.0,21000.0,163,1,1,1
32500.0,11700.0,158,1,1,0
110000.0,20000.0,141,1,1,1
72219.0,24000.0,581,0,1,0
100000.0,6000.0,129,1,1,1
30000.0,10800.0,211,1,1,1
60000.0,15000.0,345,0,1,1
150000.0,35000.0,522,0,1,0
70000.0,18750.0,591,0,1,0
100000.0,30000.0,318,1,0,0
90000.0,13200.0,479,0,1,1
62000.0,14000.0,240,1,1,1
82234.0,18000.0,484,0,1,1
120000.0,14400.0,419,1,0,1
71000.0,27000.0,492,1,0,1
70000.0,30000.0,599,0,1,0
55000.0,20000.0,242,0,2,0
80000.0,4200.0,475,1,0,1
25000.0,12000.0,464,0,1,0
49000.0,10000.0,517,0,1,1
129000.0,24000.0,502,1,0,0
38000.0,19000.0,401,0,1,1
110000.0,20000.0,323,1,0,1
50000.0,19300.0,516,0,1,0
100000.0,20000.0,534,1,0,0
160000.0,21000.0,538,0,1,0
65000.0,14400.0,156,1,1,1
110000.0,9600.0,488,1,0,1
80000.0,31000.0,541,0,1,0
120000.0,35000.0,251,0,2,0
120000.0,35000.0,466,0,1,0
44000.0,6000.0,507,0,1,1
50000.0,10000.0,376,0,1,1
124000.0,12000.0,224,1,1,0
168000.0,23000.0,228,0,2,0
105000.0,20000.0,459,0,1,1
65500.0,10000.0,520,0,1,1
90000.0,30000.0,375,0,1,0
70000.0,2950.0,597,0,1,1
54000.0,12500.0,210,1,1,0
30600.0,11000.0,595,1,0,0
45508.0,9600.0,218,1,1,1
90000.0,28000.0,337,1,0,1
95000.0,18000.0,596,1,0,1
53000.0,24375.0,499,1,0,0
100000.0,28000.0,200,1,1,0
68000.0,2100.0,454,0,1,1
68000.0,19950.0,546,0,1,0
110000.0,25000.0,257,1,1,1
65000.0,22100.0,221,0,2,1
94000.0,12600.0,413,1,0,0
165000.0,25000.0,191,0,2,1
90000.0,21000.0,283,0,2,0
38000.0,9500.0,428,1,0,1
72000.0,10000.0,141,1,1,1
70000.0,12000.0,599,1,0,0
70000.0,25000.0,176,0,2,1
85000.0,28000.0,574,0,1,0
33000.0,10000.0,389,1,0,1
120000.0,21000.0,132,1,1,1
92000.0,16000.0,145,1,1,1
675000.0,27025.0,541,1,0,1
24000.0,4500.0,196,0,2,1
34000.0,7500.0,499,1,0,1
67000.0,10000.0,467,0,1,1
60000.0,15000.0,556,0,1,0
60000.0,16000.0,283,0,2,1
120000.0,12000.0,381,1,0,1
72100.0,15000.0,361,0,1,1
90000.0,5000.0,139,0,2,1
45000.0,12650.0,252,1,1,0
92000.0,18000.0,321,1,0,0
120000.0,14075.0,107,0,2,1
58000.0,10800.0,343,1,0,0
53000.0,26500.0,280,1,1,0
50000.0,25000.0,519,1,0,0
120000.0,30000.0,318,1,0,1
100000.0,24000.0,149,1,1,0
36500.0,18250.0,287,0,2,0
100000.0,20000.0,196,1,1,0
183000.0,5000.0,280,1,1,0
103000.0,35000.0,349,0,1,0
65000.0,6000.0,225,1,1,1
81000.0,5000.0,136,1,1,0
96000.0,5000.0,351,1,0,1
30000.0,12000.0,323,0,1,0
80000.0,10000.0,339,0,1,0
109000.0,35000.0,306,0,1,0
22000.0,6125.0,262,0,2,1
35500.0,10650.0,205,0,2,0
95000.0,12600.0,382,1,0,0
66000.0,10350.0,474,1,0,1
48000.0,3500.0,275,1,1,0
72000.0,8000.0,101,0,2,1
35760.0,9400.0,144,0,2,1
30000.0,10200.0,219,0,2,0
105000.0,9000.0,541,0,1,1
58000.0,15000.0,451,1,0,0
50000.0,17000.0,135,1,1,0
65000.0,16200.0,574,0,1,0
33000.0,12525.0,556,0,1,1
47000.0,10000.0,412,0,1,1
90000.0,8400.0,423,0,1,1
22000.0,8000.0,478,1,0,1
165000.0,28000.0,479,1,0,0
60000.0,12000.0,409,0,1,1
75000.0,30000.0,512,1,0,0
45000.0,8000.0,519,1,0,1
30000.0,9000.0,432,0,1,1
52000.0,10000.0,523,0,1,1
150000.0,9000.0,341,1,0,1
144000.0,25000.0,303,1,0,0
100000.0,20000.0,564,0,1,1
67000.0,10000.0,108,1,1,0
40000.0,2975.0,341,0,1,0
45500.0,15000.0,524,0,1,0
150000.0,10000.0,537,1,0,1
45500.0,10000.0,220,1,1,0
12000.0,3825.0,446,0,1,1
70000.0,25000.0,404,0,1,0
80000.0,24000.0,209,1,1,1
95000.0,22400.0,385,0,1,0
100000.0,5000.0,550,0,1,1
130000.0,12000.0,307,1,0,1
320000.0,15000.0,550,0,1,1
62000.0,14400.0,292,1,1,1
37000.0,16275.0,317,0,1,0
45000.0,16000.0,564,1,0,1
121000.0,35000.0,425,0,1,0
55000.0,20000.0,583,1,0,0
60000.0,23975.0,214,0,2,0
40000.0,10350.0,549,1,0,0
28000.0,8950.0,162,1,1,1
86000.0,7000.0,371,0,1,1
76700.0,8000.0,268,1,1,1
125000.0,24000.0,234,1,1,0
89000.0,18200.0,419,1,0,0
65000.0,3500.0,206,1,1,1
52700.0,23000.0,489,0,1,1
170000.0,35000.0,153,0,2,1
89000.0,30000.0,350,0,1,0
67600.0,24000.0,443,0,1,0
125000.0,30000.0,412,1,0,0
68000.0,19500.0,402,0,1,0
35300.0,17650.0,277,1,1,0
42000.0,16525.0,360,0,1,1
45250.0,5000.0,358,1,0,1
46000.0,16550.0,475,1,0,0
150000.0,16000.0,550,0,1,1
30000.0,6000.0,358,1,0,1
30000.0,1000.0,291,0,2,1
108000.0,25775.0,423,1,0,0
65000.0,12000.0,252,0,2,1
50000.0,16800.0,467,1,0,0
115000.0,15000.0,532,1,0,1
87319.0,12000.0,353,0,1,1
55000.0,20000.0,276,0,2,1
80000.0,24000.0,126,0,2,0
140000.0,4500.0,441,0,1,1
56000.0,21000.0,128,1,1,0
80000.0,12000.0,187,0,2,1
50000.0,15000.0,365,0,1,1
100000.0,16000.0,274,1,1,1
80000.0,11200.0,361,1,0,1
145000.0,28000.0,455,1,0,0
61500.0,12800.0,156,1,1,0
48000.0,24000.0,586,0,1,1
46000.0,13000.0,331,0,1,0
160000.0,7200.0,425,1,0,1
74800.0,6000.0,496,0,1,0
30000.0,5000.0,475,0,1,1
